"","x","y","Group","ID"
"A10",-0.132474422263451,1.13733611552801e-05,"dD1","A10"
"A100",0.132454628873842,-3.80074388916352e-06,"CKH","A100"
"A101",0.132454628873842,-3.80074388915617e-06,"CKH","A101"
"A102",0.132454628873842,-3.80074388915617e-06,"CKH","A102"
"A11",-0.132474422263451,1.13733611552874e-05,"dD1","A11"
"A12",-0.132474422263451,1.13733611552874e-05,"dD1","A12"
"A25",-0.132443968772358,0.000100728753301674,"dD100","A25"
"A26",-0.132443968772358,0.000100728753301674,"dD100","A26"
"A27",-0.132443968772358,0.000100728753301674,"dD100","A27"
"A28",-0.132443968772358,0.000100728753301674,"dD100","A28"
"A29",-0.132443968772358,0.000100728753301674,"dD100","A29"
"A30",-0.132443968772358,0.000100728753301674,"dD100","A30"
"A43",0.132436183619108,-0.000134614650538759,"dH1","A43"
"A44",0.132429239718921,-0.000135171443166098,"dH1","A44"
"A45",0.132436183619108,-0.000134614650538788,"dH1","A45"
"A46",0.132429471750028,-0.000135180665968096,"dH1","A46"
"A47",0.132429006618006,-0.000135160368226238,"dH1","A47"
"A48",0.132436182068387,-0.00013461505695967,"dH1","A48"
"A61",0.13247181943629,0.000138671037417751,"dH100","A61"
"A62",0.13247181943629,0.000138671037417751,"dH100","A62"
"A63",0.13247181943629,0.000138671037417751,"dH100","A63"
"A64",0.13247181943629,0.000138671037417747,"dH100","A64"
"A65",0.13247181943629,0.000138671037417751,"dH100","A65"
"A66",0.13247181943629,0.000138671037417751,"dH100","A66"
"A7",-0.132457241377834,-0.000161771148568039,"dD1","A7"
"A79",-0.132446495468455,-5.43647655114966e-05,"CKD","A79"
"A8",-0.132474422263451,1.13733611552874e-05,"dD1","A8"
"A80",-0.132446495468455,-5.43647655114966e-05,"CKD","A80"
"A81",-0.132446495468455,-5.4364765511504e-05,"CKD","A81"
"A82",-0.132446495468455,-5.43647655115003e-05,"CKD","A82"
"A83",-0.132446495468455,-5.43647655115113e-05,"CKD","A83"
"A84",-0.132446495468455,-5.43647655114966e-05,"CKD","A84"
"A9",-0.132457241377834,-0.000161771148568039,"dD1","A9"
"A97",0.132454628873842,-3.80074388915249e-06,"CKH","A97"
"A98",0.132454628873842,-3.80074388916352e-06,"CKH","A98"
"A99",0.132454628873842,-3.80074388916352e-06,"CKH","A99"
