"","Row.names","count","groups","group","mean","SD","ymin","ymax"
"1","CKD",16434.6343109447,"a","CKD",16434.6343109447,146.909410080265,16287.7249008645,16581.543721025
"2","CKH",16165.0088493962,"b","CKH",16165.0088493962,46.4128916787476,16118.5959577174,16211.4217410749
"3","dD1",16225.1996155012,"b","dD1",16225.1996155012,255.262535926926,15969.9370795742,16480.4621514281
"4","dD100",15916.2191471392,"c","dD100",15916.2191471392,138.203070104008,15778.0160770352,16054.4222172433
"5","dH1",16078.8952737261,"bc","dH1",16078.8952737261,121.577759588,15957.3175141381,16200.4730333141
"6","dH100",15588.1973523438,"d","dH100",15588.1973523438,137.506342300441,15450.6910100434,15725.7036946443
