"","Row.names","count","groups","group","mean","SD","ymin","ymax"
"1","CKD",15966.4994607046,"ab","CKD",15966.4994607046,127.609827607905,15838.8896330967,16094.1092883125
"2","CKH",16047.929440466,"a","CKH",16047.929440466,188.016924521266,15859.9125159447,16235.9463649873
"3","dD1",15903.2031352524,"ab","dD1",15903.2031352524,185.977880519268,15717.2252547331,16089.1810157717
"4","dD100",15749.3893348604,"b","dD100",15749.3893348604,156.294455118341,15593.094879742,15905.6837899787
"5","dH1",15951.7687823049,"ab","dH1",15951.7687823049,253.311252725633,15698.4575295793,16205.0800350305
"6","dH100",15395.2166863749,"c","dH100",15395.2166863749,132.12708038335,15263.0896059915,15527.3437667582
