"","Row.names","count","groups","group","mean","SD","ymin","ymax"
"1","CKD",11421.8333333333,"a","CKD",11421.8333333333,85.8520044417524,11335.9813288916,11507.6853377751
"2","CKH",11203.1666666667,"c","CKH",11203.1666666667,44.2330946991805,11158.9335719675,11247.3997613658
"3","dD1",11307.6666666667,"b","dD1",11307.6666666667,64.0583067733348,11243.6083598933,11371.72497344
"4","dD100",11108.5,"d","dD100",11108.5,63.0927888114006,11045.4072111886,11171.5927888114
"5","dH1",11298.1666666667,"b","dH1",11298.1666666667,51.8822384508096,11246.2844282159,11350.0489051175
"6","dH100",10782.1666666667,"e","dH100",10782.1666666667,43.751190459994,10738.4154762067,10825.9178571267
