"","Row.names","count","groups","group","mean","SD","ymin","ymax"
"1","CKD",493.97513415409,"b","CKD",493.97513415409,8.12017416886361,485.854959985226,502.095308322953
"2","CKH",295.889467757068,"e","CKH",295.889467757068,3.907869349982,291.981598407086,299.79733710705
"3","dD1",588.546859311502,"a","dD1",588.546859311502,13.5354714198892,575.011387891613,602.082330731391
"4","dD100",433.591364607026,"c","dD100",433.591364607026,7.52167500030444,426.069689606721,441.11303960733
"5","dH1",414.532569976348,"d","dH1",414.532569976348,6.30100523600827,408.23156474034,420.833575212356
"6","dH100",242.121056796919,"f","dH100",242.121056796919,4.45301185026224,237.668044946657,246.574068647181
