"","Row.names","count","groups","group","mean","SD","ymin","ymax"
"1","CKD",7.8544432723905,"b","CKD",7.8544432723905,0.00726059656888233,7.84718267582162,7.86170386895938
"2","CKH",7.70190650461137,"e","CKH",7.70190650461137,0.00533826461511394,7.69656823999625,7.70724476922648
"3","dD1",7.88057204846305,"a","dD1",7.88057204846305,0.00572102100929406,7.87485102745376,7.88629306947235
"4","dD100",7.79600221444148,"c","dD100",7.79600221444148,0.00494346235956699,7.79105875208191,7.80094567680104
"5","dH1",7.78302490474927,"d","dH1",7.78302490474927,0.00540708960373823,7.77761781514554,7.78843199435301
"6","dH100",7.55258549885127,"f","dH100",7.55258549885127,0.00568851772852877,7.54689698112274,7.5582740165798
