"","Row.names","count","groups","group","mean","SD","ymin","ymax"
"1","CKD",0.840453404548473,"b","CKD",0.840453404548473,0.000461915659590315,0.839991488888883,0.840915320208063
"2","CKH",0.825368213031373,"e","CKH",0.825368213031373,0.000344582990186348,0.825023630041187,0.825712796021559
"3","dD1",0.844443414430122,"a","dD1",0.844443414430122,0.000692622865528529,0.843750791564593,0.84513603729565
"4","dD100",0.83761642285269,"c","dD100",0.83761642285269,0.000709075509513417,0.836907347343177,0.838325498362204
"5","dH1",0.83430974367753,"d","dH1",0.83430974367753,0.000455564651556795,0.833854179025974,0.834765308329087
"6","dH100",0.813202754659116,"f","dH100",0.813202754659116,0.000922324717924965,0.812280429941191,0.814125079377041
